Wait Time,Nationality,Outcome,Period in which decisions made,Count
6 months to under 1 year,Ecuador,Grant,2011 Q1,1
2 years to under 2.5 years,Ecuador,Refusal,2011 Q1,1
Under 6 months,Egypt,Grant,2011 Q1,5
6 months to under 1 year,Egypt,Grant,2011 Q1,1
Under 6 months,Egypt,Refusal,2011 Q1,20
1 year to under 1.5 years,Egypt,Refusal,2011 Q1,1
2.5 years to under 3 years,Egypt,Refusal,2011 Q1,1
Under 6 months,Eritrea,Grant,2011 Q1,127
6 months to under 1 year,Eritrea,Grant,2011 Q1,3
1 year to under 1.5 years,Eritrea,Grant,2011 Q1,5
1.5 years to under 2 years,Eritrea,Grant,2011 Q1,7
2 years to under 2.5 years,Eritrea,Grant,2011 Q1,10
2.5 years to under 3 years,Eritrea,Grant,2011 Q1,8
3 years or more,Eritrea,Grant,2011 Q1,7
Under 6 months,Eritrea,Refusal,2011 Q1,47
6 months to under 1 year,Eritrea,Refusal,2011 Q1,5
1 year to under 1.5 years,Eritrea,Refusal,2011 Q1,1
1.5 years to under 2 years,Eritrea,Refusal,2011 Q1,2
2 years to under 2.5 years,Eritrea,Refusal,2011 Q1,2
2.5 years to under 3 years,Eritrea,Refusal,2011 Q1,5
3 years or more,Eritrea,Refusal,2011 Q1,6
Under 6 months,Ethiopia,Grant,2011 Q1,9
1.5 years to under 2 years,Ethiopia,Grant,2011 Q1,1
Under 6 months,Ethiopia,Refusal,2011 Q1,20
3 years or more,Ethiopia,Refusal,2011 Q1,1
3 years or more,Former Yugoslavia,Refusal,2011 Q1,2
Under 6 months,"Gambia, The",Grant,2011 Q1,31
Under 6 months,"Gambia, The",Refusal,2011 Q1,48
6 months to under 1 year,"Gambia, The",Refusal,2011 Q1,2
1 year to under 1.5 years,"Gambia, The",Refusal,2011 Q1,1
1.5 years to under 2 years,"Gambia, The",Refusal,2011 Q1,1
3 years or more,"Gambia, The",Refusal,2011 Q1,1
Under 6 months,Georgia,Grant,2011 Q1,3
Under 6 months,Georgia,Refusal,2011 Q1,9
1 year to under 1.5 years,Georgia,Refusal,2011 Q1,2
Under 6 months,Ghana,Grant,2011 Q1,2
6 months to under 1 year,Ghana,Grant,2011 Q1,1
3 years or more,Ghana,Grant,2011 Q1,1
Under 6 months,Ghana,Refusal,2011 Q1,31
6 months to under 1 year,Ghana,Refusal,2011 Q1,1
1 year to under 1.5 years,Ghana,Refusal,2011 Q1,2
1.5 years to under 2 years,Ghana,Refusal,2011 Q1,1
3 years or more,Ghana,Refusal,2011 Q1,2
Under 6 months,Guinea,Grant,2011 Q1,6
6 months to under 1 year,Guinea,Grant,2011 Q1,1
2 years to under 2.5 years,Guinea,Grant,2011 Q1,1
Under 6 months,Guinea,Refusal,2011 Q1,7
3 years or more,Guinea,Refusal,2011 Q1,1
Under 6 months,Haiti,Refusal,2011 Q1,1
Under 6 months,Hong Kong,Grant,2011 Q1,1
Under 6 months,India,Grant,2011 Q1,2
Under 6 months,India,Refusal,2011 Q1,80
6 months to under 1 year,India,Refusal,2011 Q1,4
1 year to under 1.5 years,India,Refusal,2011 Q1,2
1.5 years to under 2 years,India,Refusal,2011 Q1,2
2 years to under 2.5 years,India,Refusal,2011 Q1,1
Under 6 months,Indonesia,Refusal,2011 Q1,1
Under 6 months,Iran,Grant,2011 Q1,230
6 months to under 1 year,Iran,Grant,2011 Q1,6
1 year to under 1.5 years,Iran,Grant,2011 Q1,2
1.5 years to under 2 years,Iran,Grant,2011 Q1,3
2 years to under 2.5 years,Iran,Grant,2011 Q1,5
3 years or more,Iran,Grant,2011 Q1,2
Under 6 months,Iran,Refusal,2011 Q1,334
6 months to under 1 year,Iran,Refusal,2011 Q1,2
1 year to under 1.5 years,Iran,Refusal,2011 Q1,4
1.5 years to under 2 years,Iran,Refusal,2011 Q1,6
2 years to under 2.5 years,Iran,Refusal,2011 Q1,12
2.5 years to under 3 years,Iran,Refusal,2011 Q1,8
3 years or more,Iran,Refusal,2011 Q1,8
Under 6 months,Iraq,Grant,2011 Q1,16
3 years or more,Iraq,Grant,2011 Q1,1
Under 6 months,Iraq,Refusal,2011 Q1,55
1 year to under 1.5 years,Iraq,Refusal,2011 Q1,4
1.5 years to under 2 years,Iraq,Refusal,2011 Q1,8
2 years to under 2.5 years,Iraq,Refusal,2011 Q1,5
2.5 years to under 3 years,Iraq,Refusal,2011 Q1,2
3 years or more,Iraq,Refusal,2011 Q1,9
Under 6 months,Ivory Coast,Grant,2011 Q1,6
Under 6 months,Ivory Coast,Refusal,2011 Q1,23
1 year to under 1.5 years,Ivory Coast,Refusal,2011 Q1,1
2 years to under 2.5 years,Ivory Coast,Refusal,2011 Q1,1
3 years or more,Ivory Coast,Refusal,2011 Q1,1
Under 6 months,Jamaica,Grant,2011 Q1,10
1.5 years to under 2 years,Jamaica,Grant,2011 Q1,1
2 years to under 2.5 years,Jamaica,Grant,2011 Q1,1
3 years or more,Jamaica,Grant,2011 Q1,1
Under 6 months,Jamaica,Refusal,2011 Q1,20
6 months to under 1 year,Jamaica,Refusal,2011 Q1,4
1 year to under 1.5 years,Jamaica,Refusal,2011 Q1,1
1.5 years to under 2 years,Jamaica,Refusal,2011 Q1,1
3 years or more,Jamaica,Refusal,2011 Q1,3
Under 6 months,Jordan,Grant,2011 Q1,2
Under 6 months,Jordan,Refusal,2011 Q1,1
Under 6 months,Kenya,Grant,2011 Q1,8
6 months to under 1 year,Kenya,Grant,2011 Q1,1
1 year to under 1.5 years,Kenya,Grant,2011 Q1,2
3 years or more,Kenya,Grant,2011 Q1,1
Under 6 months,Kenya,Refusal,2011 Q1,17
6 months to under 1 year,Kenya,Refusal,2011 Q1,1
2 years to under 2.5 years,Kenya,Refusal,2011 Q1,1
2.5 years to under 3 years,Kenya,Refusal,2011 Q1,2
3 years or more,Kenya,Refusal,2011 Q1,1
2.5 years to under 3 years,Korea (North),Grant,2011 Q1,1
Under 6 months,Korea (North),Refusal,2011 Q1,4
2.5 years to under 3 years,Korea (North),Refusal,2011 Q1,3
3 years or more,Korea (North),Refusal,2011 Q1,4
2.5 years to under 3 years,Korea (South),Grant,2011 Q1,1
Under 6 months,Korea (South),Refusal,2011 Q1,2
6 months to under 1 year,Kosovo,Grant,2011 Q1,1
3 years or more,Kosovo,Grant,2011 Q1,1
Under 6 months,Kosovo,Refusal,2011 Q1,2
3 years or more,Kosovo,Refusal,2011 Q1,2
Under 6 months,Kuwait,Grant,2011 Q1,5
Under 6 months,Kuwait,Refusal,2011 Q1,6
6 months to under 1 year,Kuwait,Refusal,2011 Q1,1
2 years to under 2.5 years,Kuwait,Refusal,2011 Q1,1
Under 6 months,Kyrgyzstan,Refusal,2011 Q1,1
Under 6 months,Laos,Refusal,2011 Q1,1
Under 6 months,Latvia,Refusal,2011 Q1,1
Under 6 months,Lebanon,Refusal,2011 Q1,5
1.5 years to under 2 years,Lebanon,Refusal,2011 Q1,1
Under 6 months,Liberia,Grant,2011 Q1,1
Under 6 months,Liberia,Refusal,2011 Q1,3
6 months to under 1 year,Liberia,Refusal,2011 Q1,1
Under 6 months,Libya,Grant,2011 Q1,3
Under 6 months,Libya,Refusal,2011 Q1,27
3 years or more,Lithuania,Refusal,2011 Q1,1
3 years or more,Macedonia,Refusal,2011 Q1,2
Under 6 months,Malawi,Grant,2011 Q1,8
6 months to under 1 year,Malawi,Grant,2011 Q1,1
Under 6 months,Malawi,Refusal,2011 Q1,25
6 months to under 1 year,Malawi,Refusal,2011 Q1,1
Under 6 months,Malaysia,Grant,2011 Q1,3
Under 6 months,Malaysia,Refusal,2011 Q1,9
1 year to under 1.5 years,Malaysia,Refusal,2011 Q1,1
2 years to under 2.5 years,Malaysia,Refusal,2011 Q1,1
Under 6 months,Mali,Refusal,2011 Q1,3
Under 6 months,Mauritius,Grant,2011 Q1,2
Under 6 months,Mauritius,Refusal,2011 Q1,6
3 years or more,Mauritius,Refusal,2011 Q1,1
Under 6 months,Moldova,Refusal,2011 Q1,1
6 months to under 1 year,Mongolia,Grant,2011 Q1,1
1.5 years to under 2 years,Mongolia,Grant,2011 Q1,1
Under 6 months,Mongolia,Refusal,2011 Q1,7
2.5 years to under 3 years,Mongolia,Refusal,2011 Q1,1
Under 6 months,Morocco,Grant,2011 Q1,5
Under 6 months,Morocco,Refusal,2011 Q1,11
6 months to under 1 year,Morocco,Refusal,2011 Q1,1
Under 6 months,Mozambique,Refusal,2011 Q1,1
Under 6 months,Namibia,Refusal,2011 Q1,3
Under 6 months,Nepal,Refusal,2011 Q1,10
Under 6 months,Niger,Refusal,2011 Q1,1
Under 6 months,Nigeria,Grant,2011 Q1,17
2 years to under 2.5 years,Nigeria,Grant,2011 Q1,1
2.5 years to under 3 years,Nigeria,Grant,2011 Q1,4
3 years or more,Nigeria,Grant,2011 Q1,1
Under 6 months,Nigeria,Refusal,2011 Q1,142
6 months to under 1 year,Nigeria,Refusal,2011 Q1,6
1 year to under 1.5 years,Nigeria,Refusal,2011 Q1,2
1.5 years to under 2 years,Nigeria,Refusal,2011 Q1,5
2 years to under 2.5 years,Nigeria,Refusal,2011 Q1,3
2.5 years to under 3 years,Nigeria,Refusal,2011 Q1,1
3 years or more,Nigeria,Refusal,2011 Q1,6
Under 6 months,Occupied Palestinian Territories,Grant,2011 Q1,9
Under 6 months,Occupied Palestinian Territories,Refusal,2011 Q1,37
2.5 years to under 3 years,Occupied Palestinian Territories,Refusal,2011 Q1,2
3 years or more,Occupied Palestinian Territories,Refusal,2011 Q1,3
Under 6 months,Oman,Refusal,2011 Q1,1
Under 6 months,Other and unknown,Refusal,2011 Q1,1
Under 6 months,Pakistan,Grant,2011 Q1,45
6 months to under 1 year,Pakistan,Grant,2011 Q1,1
2 years to under 2.5 years,Pakistan,Grant,2011 Q1,2
2.5 years to under 3 years,Pakistan,Grant,2011 Q1,1
Under 6 months,Pakistan,Refusal,2011 Q1,348
6 months to under 1 year,Pakistan,Refusal,2011 Q1,3
1 year to under 1.5 years,Pakistan,Refusal,2011 Q1,2
1.5 years to under 2 years,Pakistan,Refusal,2011 Q1,8
2 years to under 2.5 years,Pakistan,Refusal,2011 Q1,5
3 years or more,Pakistan,Refusal,2011 Q1,5
Under 6 months,Panama,Grant,2011 Q1,1
Under 6 months,Peru,Refusal,2011 Q1,1
Under 6 months,Philippines,Refusal,2011 Q1,2
Under 6 months,Poland,Refusal,2011 Q1,1
Under 6 months,Refugee,Grant,2011 Q1,73
Under 6 months,Refugee,Refusal,2011 Q1,16
2.5 years to under 3 years,Refugee,Refusal,2011 Q1,1
3 years or more,Refugee,Refusal,2011 Q1,1
Under 6 months,Russia,Grant,2011 Q1,7
Under 6 months,Russia,Refusal,2011 Q1,11
6 months to under 1 year,Russia,Refusal,2011 Q1,1
1 year to under 1.5 years,Russia,Refusal,2011 Q1,1
3 years or more,Russia,Refusal,2011 Q1,2
Under 6 months,Rwanda,Grant,2011 Q1,1
2 years to under 2.5 years,Rwanda,Grant,2011 Q1,1
3 years or more,Rwanda,Grant,2011 Q1,1
Under 6 months,Rwanda,Refusal,2011 Q1,4
6 months to under 1 year,Rwanda,Refusal,2011 Q1,1
Under 6 months,Saudi Arabia,Grant,2011 Q1,2
Under 6 months,Saudi Arabia,Refusal,2011 Q1,1
Under 6 months,Senegal,Grant,2011 Q1,2
Under 6 months,Senegal,Refusal,2011 Q1,6
Under 6 months,Serbia,Grant,2011 Q1,1
Under 6 months,Serbia,Refusal,2011 Q1,1
Under 6 months,Sierra Leone,Grant,2011 Q1,4
1 year to under 1.5 years,Sierra Leone,Grant,2011 Q1,1
Under 6 months,Sierra Leone,Refusal,2011 Q1,11
6 months to under 1 year,Sierra Leone,Refusal,2011 Q1,2
1.5 years to under 2 years,Sierra Leone,Refusal,2011 Q1,1
2 years to under 2.5 years,Sierra Leone,Refusal,2011 Q1,1
2.5 years to under 3 years,Sierra Leone,Refusal,2011 Q1,1
Under 6 months,Somalia,Grant,2011 Q1,67
6 months to under 1 year,Somalia,Grant,2011 Q1,1
1 year to under 1.5 years,Somalia,Grant,2011 Q1,1
1.5 years to under 2 years,Somalia,Grant,2011 Q1,5
2 years to under 2.5 years,Somalia,Grant,2011 Q1,4
2.5 years to under 3 years,Somalia,Grant,2011 Q1,8
3 years or more,Somalia,Grant,2011 Q1,4
Under 6 months,Somalia,Refusal,2011 Q1,62
6 months to under 1 year,Somalia,Refusal,2011 Q1,1
1 year to under 1.5 years,Somalia,Refusal,2011 Q1,2
1.5 years to under 2 years,Somalia,Refusal,2011 Q1,1
2 years to under 2.5 years,Somalia,Refusal,2011 Q1,3
2.5 years to under 3 years,Somalia,Refusal,2011 Q1,4
3 years or more,Somalia,Refusal,2011 Q1,5
Under 6 months,South Africa,Grant,2011 Q1,2
Under 6 months,South Africa,Refusal,2011 Q1,21
6 months to under 1 year,South Africa,Refusal,2011 Q1,1
1 year to under 1.5 years,South Africa,Refusal,2011 Q1,2
3 years or more,South Africa,Refusal,2011 Q1,1
Under 6 months,Sri Lanka,Grant,2011 Q1,84
6 months to under 1 year,Sri Lanka,Grant,2011 Q1,2
1 year to under 1.5 years,Sri Lanka,Grant,2011 Q1,1
1.5 years to under 2 years,Sri Lanka,Grant,2011 Q1,1
3 years or more,Sri Lanka,Grant,2011 Q1,1
Under 6 months,Sri Lanka,Refusal,2011 Q1,332
6 months to under 1 year,Sri Lanka,Refusal,2011 Q1,8
1 year to under 1.5 years,Sri Lanka,Refusal,2011 Q1,2
1.5 years to under 2 years,Sri Lanka,Refusal,2011 Q1,20
2 years to under 2.5 years,Sri Lanka,Refusal,2011 Q1,20
2.5 years to under 3 years,Sri Lanka,Refusal,2011 Q1,8
3 years or more,Sri Lanka,Refusal,2011 Q1,6
Under 6 months,St. Vincent and the Grenadines,Refusal,2011 Q1,1
Under 6 months,Stateless,Grant,2011 Q1,4
Under 6 months,Stateless,Refusal,2011 Q1,21
Under 6 months,Sudan,Grant,2011 Q1,125
6 months to under 1 year,Sudan,Grant,2011 Q1,5
1 year to under 1.5 years,Sudan,Grant,2011 Q1,1
1.5 years to under 2 years,Sudan,Grant,2011 Q1,5
2 years to under 2.5 years,Sudan,Grant,2011 Q1,1
3 years or more,Sudan,Grant,2011 Q1,1
Under 6 months,Sudan,Refusal,2011 Q1,50
6 months to under 1 year,Sudan,Refusal,2011 Q1,2
1 year to under 1.5 years,Sudan,Refusal,2011 Q1,1
3 years or more,Sudan,Refusal,2011 Q1,1
Under 6 months,Swaziland,Refusal,2011 Q1,1
1.5 years to under 2 years,Swaziland,Refusal,2011 Q1,1
Under 6 months,Syria,Grant,2011 Q1,3
6 months to under 1 year,Syria,Grant,2011 Q1,1
1.5 years to under 2 years,Syria,Grant,2011 Q1,1
Under 6 months,Syria,Refusal,2011 Q1,24
6 months to under 1 year,Syria,Refusal,2011 Q1,1
2 years to under 2.5 years,Syria,Refusal,2011 Q1,1
3 years or more,Syria,Refusal,2011 Q1,2
Under 6 months,Tanzania,Grant,2011 Q1,2
Under 6 months,Tanzania,Refusal,2011 Q1,5
Under 6 months,Thailand,Refusal,2011 Q1,2
1.5 years to under 2 years,Thailand,Refusal,2011 Q1,1
Under 6 months,Togo,Refusal,2011 Q1,1
Under 6 months,Trinidad and Tobago,Refusal,2011 Q1,4
1.5 years to under 2 years,Trinidad and Tobago,Refusal,2011 Q1,1
Under 6 months,Tunisia,Refusal,2011 Q1,7
Under 6 months,Turkey,Grant,2011 Q1,6
1 year to under 1.5 years,Turkey,Grant,2011 Q1,1
1.5 years to under 2 years,Turkey,Grant,2011 Q1,2
2 years to under 2.5 years,Turkey,Grant,2011 Q1,2
Under 6 months,Turkey,Refusal,2011 Q1,28
6 months to under 1 year,Turkey,Refusal,2011 Q1,5
1 year to under 1.5 years,Turkey,Refusal,2011 Q1,1
1.5 years to under 2 years,Turkey,Refusal,2011 Q1,2
2 years to under 2.5 years,Turkey,Refusal,2011 Q1,5
2.5 years to under 3 years,Turkey,Refusal,2011 Q1,2
3 years or more,Turkey,Refusal,2011 Q1,2
Under 6 months,Uganda,Grant,2011 Q1,22
6 months to under 1 year,Uganda,Grant,2011 Q1,1
1.5 years to under 2 years,Uganda,Grant,2011 Q1,1
Under 6 months,Uganda,Refusal,2011 Q1,34
6 months to under 1 year,Uganda,Refusal,2011 Q1,2
1 year to under 1.5 years,Uganda,Refusal,2011 Q1,1
1.5 years to under 2 years,Uganda,Refusal,2011 Q1,1
Under 6 months,Ukraine,Refusal,2011 Q1,8
2 years to under 2.5 years,Ukraine,Refusal,2011 Q1,1
2 years to under 2.5 years,United Arab Emirates,Grant,2011 Q1,1
Under 6 months,United Arab Emirates,Refusal,2011 Q1,1
Under 6 months,United States,Refusal,2011 Q1,1
Under 6 months,Uzbekistan,Grant,2011 Q1,1
Under 6 months,Uzbekistan,Refusal,2011 Q1,2
Under 6 months,Venezuela,Grant,2011 Q1,1
1.5 years to under 2 years,Venezuela,Grant,2011 Q1,1
2 years to under 2.5 years,Venezuela,Refusal,2011 Q1,1
Under 6 months,Vietnam,Grant,2011 Q1,18
Under 6 months,Vietnam,Refusal,2011 Q1,22
6 months to under 1 year,Vietnam,Refusal,2011 Q1,2
1 year to under 1.5 years,Vietnam,Refusal,2011 Q1,2
1.5 years to under 2 years,Vietnam,Refusal,2011 Q1,1
2 years to under 2.5 years,Vietnam,Refusal,2011 Q1,1
Under 6 months,Western Sahara,Refusal,2011 Q1,3
6 months to under 1 year,Western Sahara,Refusal,2011 Q1,1
Under 6 months,Yemen,Grant,2011 Q1,1
1.5 years to under 2 years,Yemen,Grant,2011 Q1,1
3 years or more,Yemen,Grant,2011 Q1,2
Under 6 months,Yemen,Refusal,2011 Q1,4
3 years or more,Yemen,Refusal,2011 Q1,1
Under 6 months,Zambia,Grant,2011 Q1,2
Under 6 months,Zambia,Refusal,2011 Q1,1
3 years or more,Zambia,Refusal,2011 Q1,1
Under 6 months,Zimbabwe,Grant,2011 Q1,68
6 months to under 1 year,Zimbabwe,Grant,2011 Q1,1
1 year to under 1.5 years,Zimbabwe,Grant,2011 Q1,1
1.5 years to under 2 years,Zimbabwe,Grant,2011 Q1,5
2 years to under 2.5 years,Zimbabwe,Grant,2011 Q1,1
Under 6 months,Zimbabwe,Refusal,2011 Q1,126
6 months to under 1 year,Zimbabwe,Refusal,2011 Q1,3
1.5 years to under 2 years,Zimbabwe,Refusal,2011 Q1,9
2 years to under 2.5 years,Zimbabwe,Refusal,2011 Q1,13
2.5 years to under 3 years,Zimbabwe,Refusal,2011 Q1,3
3 years or more,Zimbabwe,Refusal,2011 Q1,2
Under 6 months,Afghanistan,Grant,2011 Q2,70
6 months to under 1 year,Afghanistan,Grant,2011 Q2,8
1 year to under 1.5 years,Afghanistan,Grant,2011 Q2,4
1.5 years to under 2 years,Afghanistan,Grant,2011 Q2,1
2 years to under 2.5 years,Afghanistan,Grant,2011 Q2,1
Under 6 months,Afghanistan,Refusal,2011 Q2,159
6 months to under 1 year,Afghanistan,Refusal,2011 Q2,6
1 year to under 1.5 years,Afghanistan,Refusal,2011 Q2,7
1.5 years to under 2 years,Afghanistan,Refusal,2011 Q2,29
2 years to under 2.5 years,Afghanistan,Refusal,2011 Q2,8
2.5 years to under 3 years,Afghanistan,Refusal,2011 Q2,11
3 years or more,Afghanistan,Refusal,2011 Q2,25
Under 6 months,Albania,Grant,2011 Q2,12
Under 6 months,Albania,Refusal,2011 Q2,29
6 months to under 1 year,Albania,Refusal,2011 Q2,1
2 years to under 2.5 years,Albania,Refusal,2011 Q2,2
2.5 years to under 3 years,Albania,Refusal,2011 Q2,1
3 years or more,Albania,Refusal,2011 Q2,3
Under 6 months,Algeria,Grant,2011 Q2,9
Under 6 months,Algeria,Refusal,2011 Q2,45
6 months to under 1 year,Algeria,Refusal,2011 Q2,2
1 year to under 1.5 years,Algeria,Refusal,2011 Q2,1
Under 6 months,Angola,Grant,2011 Q2,1
2 years to under 2.5 years,Angola,Grant,2011 Q2,2
3 years or more,Angola,Grant,2011 Q2,1
Under 6 months,Angola,Refusal,2011 Q2,4
Under 6 months,Argentina,Refusal,2011 Q2,1
1.5 years to under 2 years,Armenia,Grant,2011 Q2,1
Under 6 months,Armenia,Refusal,2011 Q2,3
3 years or more,Armenia,Refusal,2011 Q2,1
Under 6 months,Australia,Refusal,2011 Q2,1
Under 6 months,Azerbaijan,Grant,2011 Q2,1
Under 6 months,Azerbaijan,Refusal,2011 Q2,3
Under 6 months,Bahrain,Grant,2011 Q2,8
Under 6 months,Bahrain,Refusal,2011 Q2,7
Under 6 months,Bangladesh,Grant,2011 Q2,4
6 months to under 1 year,Bangladesh,Grant,2011 Q2,1
Under 6 months,Bangladesh,Refusal,2011 Q2,87
6 months to under 1 year,Bangladesh,Refusal,2011 Q2,1
1 year to under 1.5 years,Bangladesh,Refusal,2011 Q2,1
1.5 years to under 2 years,Bangladesh,Refusal,2011 Q2,1
2 years to under 2.5 years,Bangladesh,Refusal,2011 Q2,2
3 years or more,Bangladesh,Refusal,2011 Q2,4
Under 6 months,Belarus,Grant,2011 Q2,8
Under 6 months,Belarus,Refusal,2011 Q2,1
Under 6 months,Bhutan,Grant,2011 Q2,2
Under 6 months,Bolivia,Grant,2011 Q2,1
Under 6 months,Bolivia,Refusal,2011 Q2,8
2 years to under 2.5 years,Bosnia and Herzegovina,Refusal,2011 Q2,1
Under 6 months,Botswana,Refusal,2011 Q2,4
2 years to under 2.5 years,Botswana,Refusal,2011 Q2,1
Under 6 months,Brazil,Refusal,2011 Q2,3
3 years or more,Brazil,Refusal,2011 Q2,2
Under 6 months,Bulgaria,Refusal,2011 Q2,1
Under 6 months,Burma,Grant,2011 Q2,9
2.5 years to under 3 years,Burma,Grant,2011 Q2,1
Under 6 months,Burma,Refusal,2011 Q2,22
1.5 years to under 2 years,Burma,Refusal,2011 Q2,1
6 months to under 1 year,Burundi,Refusal,2011 Q2,1
Under 6 months,Cameroon,Grant,2011 Q2,3
